job_title,company_name,location,skill_required,salary
Sales Manager,Amazon,Delhi,Negotiation,121899
Plumber,Accenture,Toronto,Pipe Fitting,58511
Professor,Amazon,Tokyo,Research,95618
Pilot,HSBC,Chicago,Navigation,206937
Animator,Sony,Paris,3D Animation,65193
Sales Manager,KPMG,Chicago,Negotiation,113998
Mechanic,Amazon,Delhi,Engine Repair,38111
Librarian,Google,Chicago,Cataloguing,39312
Investment Banker,Disney,Berlin,Valuation,139233
Investment Banker,KPMG,Dubai,Valuation,136649
Investment Banker,BMW,Chicago,Valuation,194387
Tutor,Google,Berlin,Mentoring,48706
Cloud Engineer,Meta,Los Angeles,AWS,123207
Librarian,Infosys,Dubai,Cataloguing,30040
Sales Manager,McDonald's,Sydney,Negotiation,83016
HR Manager,Pfizer,Paris,Recruitment,111352
Receptionist,EY,Bangalore,Front Desk,42465
Photographer,Deloitte,Dubai,Photography,31090
Carpenter,Amazon,Dubai,Woodworking,33822
Pharmacist,Deloitte,Berlin,Pharmacology,97781
Teacher,EY,Bangalore,Classroom Management,71469
Project Manager,Accenture,Los Angeles,Agile,138343
Cashier,Accenture,Toronto,Billing,42249
Writer,McDonald's,Paris,Creative Writing,56729
Sales Manager,KPMG,Singapore,Negotiation,121850
Professor,Accenture,Singapore,Research,99083
Compliance Officer,Meta,Paris,Regulation,92014
Teacher,Google,Toronto,Classroom Management,69560
Operations Manager,EY,New York,Process Optimization,143963
Tutor,Tesla,Singapore,Mentoring,43206
Carpenter,Disney,New York,Woodworking,28458
Researcher,Sony,New York,Data Analysis,112450
Welder,Apple,Bangalore,Arc Welding,33667
Receptionist,JPMorgan,London,Front Desk,25226
Photographer,Google,Chicago,Photography,72742
Software Engineer,Coca Cola,Chicago,Python,127197
Pilot,BMW,Dubai,Navigation,221721
Accountant,EY,Dubai,Bookkeeping,98691
Legal Advisor,Coca Cola,Toronto,Contract Drafting,118619
Nurse,Amazon,Sydney,Patient Care,70911
Receptionist,Wipro,Berlin,Front Desk,25839
Support Specialist,EY,Berlin,Troubleshooting,55704
Web Developer,Coca Cola,Tokyo,JavaScript,118513
Operations Manager,Tesla,Delhi,Process Optimization,141317
Researcher,Sony,Delhi,Data Analysis,105142
Librarian,Deloitte,Paris,Cataloguing,30348
Sales Manager,Wipro,Singapore,Negotiation,80791
Paralegal,JPMorgan,Singapore,Legal Research,36722
Judge,HSBC,Tokyo,Judicial Review,156637
Mechanic,Disney,Sydney,Engine Repair,68088
Photographer,McDonald's,London,Photography,63816
Animator,McDonald's,Paris,3D Animation,95828
Construction Worker,Infosys,Delhi,Masonry,26272
Cloud Engineer,Apple,Berlin,AWS,92987
Photographer,Apple,Toronto,Photography,55042
Photographer,EY,Delhi,Photography,59616
Electrician,HSBC,Delhi,Wiring,38946
Data Scientist,Meta,Delhi,Machine Learning,74515
Farmer,KPMG,Dubai,Crop Management,23492
Cybersecurity Analyst,Infosys,Berlin,Network Security,87362
HR Manager,Accenture,Bangalore,Recruitment,117738
HR Manager,Sony,San Francisco,Recruitment,110978
Mechanic,HSBC,Berlin,Engine Repair,36426
Marketing Manager,Wipro,New York,SEO,70954
Marketing Manager,Wipro,New York,SEO,61990
Receptionist,Pfizer,New York,Front Desk,55132
Legal Advisor,Accenture,Los Angeles,Contract Drafting,100025
Waiter,HSBC,Bangalore,Hospitality,26975
Driver,Pfizer,Bangalore,Driving,49726
Cashier,KPMG,Bangalore,Billing,28779
Call Center Agent,Accenture,Tokyo,Customer Handling,37619
Compliance Officer,Apple,Sydney,Regulation,111723
Compliance Officer,Coca Cola,Los Angeles,Regulation,97283
Driver,BMW,Singapore,Driving,55456
Video Editor,Amazon,Delhi,Premiere Pro,44776
Tutor,Apple,Singapore,Mentoring,20862
Tutor,Infosys,Singapore,Mentoring,49932
Tutor,Pfizer,San Francisco,Mentoring,48740
Animator,KPMG,Singapore,3D Animation,68830
Financial Analyst,Coca Cola,Delhi,Excel Modeling,107938
Animator,JPMorgan,Tokyo,3D Animation,65036
Mechanic,Meta,Singapore,Engine Repair,42191
Chef,Microsoft,Tokyo,Culinary Arts,90184
Welder,Microsoft,New York,Arc Welding,48227
Legal Advisor,Coca Cola,New York,Contract Drafting,76708
Driver,Disney,Dubai,Driving,28900
Web Developer,Microsoft,Sydney,JavaScript,76770
Nurse,JPMorgan,Sydney,Patient Care,88102
Welder,Wipro,Dubai,Arc Welding,35334
Judge,McDonald's,New York,Judicial Review,229746
Cloud Engineer,McDonald's,Dubai,AWS,128243
Investment Banker,Sony,Tokyo,Valuation,156683
Project Manager,Meta,Singapore,Agile,120270
Librarian,Amazon,Bangalore,Cataloguing,60297
Call Center Agent,Tesla,Chicago,Customer Handling,32827
Doctor,BMW,Tokyo,Surgery,284205
Radiologist,Meta,Sydney,Imaging,136576
Welder,Microsoft,Los Angeles,Arc Welding,53787
Professor,Disney,Sydney,Research,145230
Carpenter,McDonald's,Paris,Woodworking,54842
Cloud Engineer,EY,Toronto,AWS,167459
Compliance Officer,Pfizer,Los Angeles,Regulation,119049
Lawyer,Microsoft,Toronto,Litigation,129962
Graphic Designer,Accenture,Los Angeles,Photoshop,68787
Construction Worker,Wipro,Chicago,Masonry,41998
Welder,Accenture,Sydney,Arc Welding,44476
Web Developer,Wipro,Toronto,JavaScript,93252
Farmer,EY,Los Angeles,Crop Management,19933
Operations Manager,Disney,Los Angeles,Process Optimization,99371
Video Editor,Google,Dubai,Premiere Pro,52855
Cloud Engineer,Amazon,Chicago,AWS,142119
Judge,Deloitte,Paris,Judicial Review,224137
Sales Manager,Google,Los Angeles,Negotiation,103892
Teacher,McDonald's,Chicago,Classroom Management,61903
Professor,Infosys,Sydney,Research,131254
Construction Worker,EY,Berlin,Masonry,42602
Cybersecurity Analyst,Microsoft,Dubai,Network Security,70543
Lawyer,Apple,London,Litigation,85918
Nurse,Amazon,New York,Patient Care,52853
Operations Manager,HSBC,Chicago,Process Optimization,140885
Driver,EY,Delhi,Driving,20242
Animator,Pfizer,Dubai,3D Animation,58990
Receptionist,Amazon,Chicago,Front Desk,46453
Librarian,Coca Cola,Toronto,Cataloguing,63777
Lawyer,Sony,Berlin,Litigation,183188
Investment Banker,Amazon,Tokyo,Valuation,171454
Librarian,Amazon,Delhi,Cataloguing,67336
Marketing Manager,McDonald's,Singapore,SEO,72208
Compliance Officer,JPMorgan,Tokyo,Regulation,115334
Auditor,Amazon,Berlin,Compliance,72245
Pilot,Coca Cola,Sydney,Navigation,184327
Sales Manager,McDonald's,Tokyo,Negotiation,104623
Web Developer,Microsoft,Los Angeles,JavaScript,119125
Support Specialist,Google,Delhi,Troubleshooting,53819
Judge,Pfizer,Delhi,Judicial Review,176191
Data Scientist,KPMG,Bangalore,Machine Learning,108228
Animator,BMW,Sydney,3D Animation,59227
Librarian,EY,London,Cataloguing,38708
Project Manager,KPMG,Bangalore,Agile,136129
Animator,HSBC,Los Angeles,3D Animation,52047
Radiologist,Deloitte,Singapore,Imaging,175643
Librarian,Deloitte,Singapore,Cataloguing,42239
Writer,Accenture,Dubai,Creative Writing,33420
Welder,Accenture,Bangalore,Arc Welding,62078
Cloud Engineer,EY,New York,AWS,148573
Pharmacist,Tesla,Paris,Pharmacology,105183
Software Engineer,Infosys,Dubai,Python,100813
Radiologist,Accenture,Toronto,Imaging,154907
Marketing Manager,Microsoft,Chicago,SEO,116773
Sales Manager,Amazon,San Francisco,Negotiation,76066
Video Editor,JPMorgan,Bangalore,Premiere Pro,68818
Carpenter,Microsoft,Berlin,Woodworking,56432
Software Engineer,BMW,London,Python,89810
Mechanic,Sony,Paris,Engine Repair,33096
Radiologist,Meta,Sydney,Imaging,168878
Animator,Google,New York,3D Animation,106161
HR Manager,Pfizer,Berlin,Recruitment,102572
Sales Manager,Wipro,Toronto,Negotiation,97993
Radiologist,Deloitte,Toronto,Imaging,192174
Project Manager,Microsoft,Sydney,Agile,85075
Driver,Wipro,Toronto,Driving,28650
Judge,McDonald's,Singapore,Judicial Review,177071
Carpenter,Sony,San Francisco,Woodworking,62671
Project Manager,Deloitte,Los Angeles,Agile,124765
Operations Manager,Tesla,Sydney,Process Optimization,83890
Driver,JPMorgan,Paris,Driving,43321
Plumber,JPMorgan,Sydney,Pipe Fitting,64832
Video Editor,Disney,Los Angeles,Premiere Pro,53274
Nurse,Meta,Toronto,Patient Care,79116
Doctor,JPMorgan,Toronto,Surgery,182251
Carpenter,Microsoft,Sydney,Woodworking,30573
Professor,HSBC,New York,Research,139333
Photographer,Coca Cola,Tokyo,Photography,31482
Tax Consultant,Google,Delhi,Tax Filing,71139
Software Engineer,Meta,Singapore,Python,115421
Data Scientist,BMW,Delhi,Machine Learning,89187
Carpenter,Pfizer,Tokyo,Woodworking,28141
Waiter,HSBC,Toronto,Hospitality,25096
Project Manager,Deloitte,London,Agile,113629
Waiter,JPMorgan,New York,Hospitality,36715
Driver,EY,Dubai,Driving,54723
Paralegal,Coca Cola,Los Angeles,Legal Research,66224
Professor,Infosys,New York,Research,93125
Librarian,Google,Chicago,Cataloguing,44295
Financial Analyst,EY,Sydney,Excel Modeling,82223
Cybersecurity Analyst,Coca Cola,Singapore,Network Security,112703
Teacher,Disney,Sydney,Classroom Management,63796
Accountant,Sony,Los Angeles,Bookkeeping,56233
Waiter,Microsoft,Sydney,Hospitality,37541
Psychologist,KPMG,Paris,Counseling,61490
Lawyer,BMW,Singapore,Litigation,148324
Data Scientist,JPMorgan,Toronto,Machine Learning,125015
Chef,McDonald's,San Francisco,Culinary Arts,44778
Mechanic,Tesla,Chicago,Engine Repair,66161
Mechanic,Coca Cola,Chicago,Engine Repair,53957
Data Scientist,Pfizer,London,Machine Learning,83625
Doctor,HSBC,Chicago,Surgery,173415
Marketing Manager,Pfizer,London,SEO,92805
Pharmacist,KPMG,Delhi,Pharmacology,110941
Data Scientist,Amazon,Tokyo,Machine Learning,118405
Nurse,Infosys,Chicago,Patient Care,89686
Driver,EY,London,Driving,59568
Operations Manager,Coca Cola,Sydney,Process Optimization,108529
Paralegal,BMW,Delhi,Legal Research,33738
Driver,Disney,Dubai,Driving,59886
Receptionist,Wipro,Singapore,Front Desk,55549
Writer,Pfizer,London,Creative Writing,70862
Animator,McDonald's,Singapore,3D Animation,65246
Mechanic,BMW,Bangalore,Engine Repair,61989
Software Engineer,Meta,London,Python,136076
Lawyer,Accenture,Tokyo,Litigation,145338
Cashier,BMW,Toronto,Billing,32536
Construction Worker,Google,London,Masonry,55233
Construction Worker,Accenture,Dubai,Masonry,50927
Video Editor,EY,Sydney,Premiere Pro,44723
Pilot,Accenture,Tokyo,Navigation,187250
Judge,Wipro,Berlin,Judicial Review,179343
Marketing Manager,BMW,Los Angeles,SEO,84173
Pilot,Accenture,Paris,Navigation,195390
Librarian,JPMorgan,New York,Cataloguing,61545
Auditor,Amazon,Singapore,Compliance,61852
Graphic Designer,Sony,Tokyo,Photoshop,87578
Electrician,Google,Paris,Wiring,44830
Compliance Officer,Disney,Singapore,Regulation,99008
Nurse,Microsoft,Los Angeles,Patient Care,66149
Auditor,Sony,Sydney,Compliance,96592
Lawyer,Apple,Chicago,Litigation,75427
Animator,KPMG,Delhi,3D Animation,81704
Legal Advisor,Apple,Sydney,Contract Drafting,89586
Graphic Designer,Microsoft,Dubai,Photoshop,73728
Financial Analyst,Microsoft,Los Angeles,Excel Modeling,52788
Construction Worker,Accenture,Bangalore,Masonry,26011
Librarian,Tesla,Dubai,Cataloguing,41873
Researcher,Tesla,Singapore,Data Analysis,114018
Sales Manager,Google,London,Negotiation,74343
Paralegal,Tesla,New York,Legal Research,57794
Welder,Infosys,New York,Arc Welding,54748
Carpenter,Apple,Los Angeles,Woodworking,52768
Cashier,KPMG,Bangalore,Billing,31228
Data Scientist,Wipro,Delhi,Machine Learning,138538
Photographer,Amazon,New York,Photography,40325
Legal Advisor,McDonald's,Bangalore,Contract Drafting,118815
Chef,Deloitte,Berlin,Culinary Arts,70344
Legal Advisor,KPMG,Singapore,Contract Drafting,123548
Software Engineer,BMW,Dubai,Python,100694
Data Scientist,Sony,Dubai,Machine Learning,115474
Mechanic,Amazon,Dubai,Engine Repair,55700
Construction Worker,EY,Toronto,Masonry,51182
Doctor,Meta,San Francisco,Surgery,275504
Photographer,BMW,Delhi,Photography,54306
Psychologist,KPMG,San Francisco,Counseling,84303
Accountant,BMW,Delhi,Bookkeeping,51980
Construction Worker,Tesla,Bangalore,Masonry,25975
Financial Analyst,Pfizer,Sydney,Excel Modeling,100199
Psychologist,Microsoft,Sydney,Counseling,91011
Electrician,HSBC,Los Angeles,Wiring,70757
Farmer,Deloitte,Delhi,Crop Management,39546
HR Manager,HSBC,Dubai,Recruitment,101915
Cashier,KPMG,Chicago,Billing,34733
Waiter,McDonald's,San Francisco,Hospitality,23101
Web Developer,BMW,San Francisco,JavaScript,73930
Waiter,Microsoft,Berlin,Hospitality,33736
Cybersecurity Analyst,Sony,Paris,Network Security,80209
Researcher,HSBC,Sydney,Data Analysis,89880
Plumber,Coca Cola,Los Angeles,Pipe Fitting,71777
Pharmacist,Meta,San Francisco,Pharmacology,92975
Driver,KPMG,Los Angeles,Driving,29300
Sales Manager,Google,Dubai,Negotiation,133501
Chef,Pfizer,Toronto,Culinary Arts,53296
Nurse,Tesla,London,Patient Care,48586
Financial Analyst,Pfizer,San Francisco,Excel Modeling,62406
Photographer,Apple,Tokyo,Photography,35608
Call Center Agent,Accenture,Toronto,Customer Handling,49993
Writer,Coca Cola,Bangalore,Creative Writing,42601
Paralegal,Microsoft,Chicago,Legal Research,40319
Psychologist,Amazon,Sydney,Counseling,125895
Operations Manager,Google,Paris,Process Optimization,87554
Cashier,HSBC,London,Billing,32378
Compliance Officer,BMW,Paris,Regulation,101571
Chef,EY,Toronto,Culinary Arts,57118
Financial Analyst,Accenture,Delhi,Excel Modeling,80034
Sales Manager,Apple,Chicago,Negotiation,95967
Support Specialist,EY,Dubai,Troubleshooting,50211
Doctor,Infosys,Chicago,Surgery,166735
Chef,Coca Cola,Tokyo,Culinary Arts,56360
Teacher,Google,Singapore,Classroom Management,48153
Librarian,KPMG,Sydney,Cataloguing,67634
Animator,BMW,Singapore,3D Animation,61558
Operations Manager,Deloitte,Singapore,Process Optimization,138217
Researcher,Infosys,Tokyo,Data Analysis,67657
Lawyer,Disney,Delhi,Litigation,142264
Accountant,Meta,New York,Bookkeeping,46169
Data Scientist,Tesla,Dubai,Machine Learning,117857
Researcher,McDonald's,Dubai,Data Analysis,81180
HR Manager,Sony,Los Angeles,Recruitment,97015
Teacher,Disney,Bangalore,Classroom Management,39195
Animator,JPMorgan,Dubai,3D Animation,97964
Graphic Designer,Google,Delhi,Photoshop,86186
Tutor,BMW,Paris,Mentoring,56924
Plumber,BMW,Singapore,Pipe Fitting,42226
Software Engineer,Accenture,Toronto,Python,118889
Electrician,Microsoft,Paris,Wiring,59723
Driver,Amazon,Delhi,Driving,21726
Electrician,Infosys,Bangalore,Wiring,39205
Graphic Designer,Amazon,Delhi,Photoshop,44865
Support Specialist,EY,Sydney,Troubleshooting,58251
Plumber,Meta,Tokyo,Pipe Fitting,79412
Pharmacist,Wipro,London,Pharmacology,75841
Investment Banker,JPMorgan,Tokyo,Valuation,192821
Support Specialist,Coca Cola,Los Angeles,Troubleshooting,37924
Professor,KPMG,Los Angeles,Research,63789
Operations Manager,Wipro,London,Process Optimization,137439
Call Center Agent,JPMorgan,London,Customer Handling,20759
Teacher,Accenture,Delhi,Classroom Management,45045
Plumber,Amazon,Delhi,Pipe Fitting,53361
Data Scientist,BMW,San Francisco,Machine Learning,87490
Cashier,Wipro,Dubai,Billing,38102
Compliance Officer,Sony,Bangalore,Regulation,104782
Mechanic,Deloitte,Dubai,Engine Repair,46508
Pilot,Disney,Toronto,Navigation,128641
Investment Banker,McDonald's,Los Angeles,Valuation,194242
Tutor,KPMG,Berlin,Mentoring,37139
Project Manager,Meta,Dubai,Agile,90518
HR Manager,Amazon,Bangalore,Recruitment,92162
Software Engineer,Pfizer,Sydney,Python,142892
Receptionist,HSBC,Chicago,Front Desk,34811
Chef,Tesla,Dubai,Culinary Arts,56336
Sales Manager,Disney,Toronto,Negotiation,133660
Support Specialist,Pfizer,Berlin,Troubleshooting,55045
Lawyer,Coca Cola,Tokyo,Litigation,180340
Tax Consultant,Coca Cola,New York,Tax Filing,63548
Plumber,Wipro,San Francisco,Pipe Fitting,44617
Cybersecurity Analyst,Microsoft,Chicago,Network Security,70615
Cashier,Google,Dubai,Billing,37405
Auditor,Pfizer,San Francisco,Compliance,66410
Electrician,Deloitte,San Francisco,Wiring,34743
Teacher,Disney,New York,Classroom Management,62825
Operations Manager,Apple,San Francisco,Process Optimization,111970
Cybersecurity Analyst,Accenture,Bangalore,Network Security,90318
Mechanic,Disney,New York,Engine Repair,55247
Legal Advisor,Infosys,New York,Contract Drafting,97037
Carpenter,BMW,Singapore,Woodworking,50602
Plumber,JPMorgan,Berlin,Pipe Fitting,68552
Welder,BMW,Berlin,Arc Welding,42435
Construction Worker,JPMorgan,New York,Masonry,51390
Waiter,Microsoft,Los Angeles,Hospitality,31509
Teacher,Apple,New York,Classroom Management,65820
Professor,Disney,Chicago,Research,79808
Accountant,BMW,Los Angeles,Bookkeeping,53432
Operations Manager,BMW,Los Angeles,Process Optimization,147388
Auditor,KPMG,Paris,Compliance,96787
Judge,Pfizer,Delhi,Judicial Review,192263
Call Center Agent,Accenture,Chicago,Customer Handling,26907
Doctor,EY,Singapore,Surgery,186171
Cybersecurity Analyst,Accenture,London,Network Security,90285
Pilot,Meta,San Francisco,Navigation,177741
Professor,Apple,Berlin,Research,139130
Radiologist,Sony,Delhi,Imaging,229529
Pilot,Amazon,New York,Navigation,239944
Doctor,Deloitte,Tokyo,Surgery,239812
Teacher,HSBC,Paris,Classroom Management,71923
Lawyer,Disney,Delhi,Litigation,151568
Animator,Tesla,Los Angeles,3D Animation,73092
Librarian,BMW,London,Cataloguing,32155
Nurse,Accenture,Toronto,Patient Care,87792
HR Manager,JPMorgan,Bangalore,Recruitment,64075
Cashier,JPMorgan,Los Angeles,Billing,25850
Chef,EY,Tokyo,Culinary Arts,80710
Chef,Microsoft,San Francisco,Culinary Arts,63564
Paralegal,McDonald's,Chicago,Legal Research,32334
Writer,Amazon,Delhi,Creative Writing,67673
Pilot,Pfizer,Toronto,Navigation,182761
Pharmacist,EY,Singapore,Pharmacology,87920
Graphic Designer,Pfizer,Los Angeles,Photoshop,60849
Auditor,KPMG,Toronto,Compliance,110882
Librarian,Wipro,Paris,Cataloguing,66554
Radiologist,Apple,Paris,Imaging,140753
Video Editor,BMW,Chicago,Premiere Pro,95639
Auditor,Deloitte,Toronto,Compliance,101125
Photographer,JPMorgan,Dubai,Photography,86642
Auditor,EY,Tokyo,Compliance,68897
HR Manager,EY,Dubai,Recruitment,112613
Auditor,Pfizer,Delhi,Compliance,86376
Cybersecurity Analyst,Microsoft,Tokyo,Network Security,118571
Teacher,Pfizer,Chicago,Classroom Management,31424
Cashier,Sony,Chicago,Billing,47847
Teacher,Microsoft,Toronto,Classroom Management,78944
Project Manager,Google,Toronto,Agile,127063
Project Manager,Meta,San Francisco,Agile,89031
HR Manager,Amazon,Delhi,Recruitment,89681
Cloud Engineer,EY,San Francisco,AWS,164636
Sales Manager,JPMorgan,Paris,Negotiation,64126
Call Center Agent,Accenture,Sydney,Customer Handling,27399
Radiologist,Disney,Los Angeles,Imaging,233588
Legal Advisor,Wipro,London,Contract Drafting,113262
Cashier,Tesla,New York,Billing,31995
Electrician,EY,Tokyo,Wiring,78204
Carpenter,Accenture,Berlin,Woodworking,48548
Accountant,Tesla,Paris,Bookkeeping,68497
Welder,Coca Cola,Dubai,Arc Welding,62058
Video Editor,Wipro,Los Angeles,Premiere Pro,88406
Auditor,McDonald's,Paris,Compliance,65281
Auditor,HSBC,London,Compliance,106390
Animator,Deloitte,Singapore,3D Animation,62384
Chef,EY,Sydney,Culinary Arts,57675
HR Manager,Sony,Chicago,Recruitment,114208
Electrician,McDonald's,Sydney,Wiring,47886
Compliance Officer,McDonald's,Bangalore,Regulation,76454
Teacher,Meta,Los Angeles,Classroom Management,77977
Accountant,Infosys,Delhi,Bookkeeping,45679
Librarian,BMW,San Francisco,Cataloguing,49411
Farmer,McDonald's,Dubai,Crop Management,18091
Plumber,Microsoft,Sydney,Pipe Fitting,38321
Video Editor,Amazon,Sydney,Premiere Pro,86186
Legal Advisor,EY,Toronto,Contract Drafting,79642
Cybersecurity Analyst,Deloitte,Delhi,Network Security,119796
Researcher,Tesla,Bangalore,Data Analysis,76637
Financial Analyst,Infosys,New York,Excel Modeling,71627
Graphic Designer,Microsoft,Bangalore,Photoshop,69519
Teacher,Meta,Tokyo,Classroom Management,71331
Cloud Engineer,Wipro,London,AWS,124688
Researcher,Deloitte,Dubai,Data Analysis,59518
Photographer,Infosys,Dubai,Photography,53170
Investment Banker,EY,Toronto,Valuation,179974
Electrician,EY,Sydney,Wiring,34882
Professor,Tesla,Los Angeles,Research,88112
Web Developer,McDonald's,New York,JavaScript,55760
Receptionist,Tesla,Paris,Front Desk,52749
Nurse,KPMG,Paris,Patient Care,81201
Pilot,Infosys,Los Angeles,Navigation,221209
Plumber,Amazon,Delhi,Pipe Fitting,63446
Financial Analyst,Google,Bangalore,Excel Modeling,99157
Accountant,Deloitte,San Francisco,Bookkeeping,95956
Mechanic,HSBC,Singapore,Engine Repair,67190
Support Specialist,Meta,Singapore,Troubleshooting,53036
Accountant,Deloitte,Berlin,Bookkeeping,64939
Chef,Accenture,Sydney,Culinary Arts,97260
Driver,Infosys,Singapore,Driving,58886
Cybersecurity Analyst,Sony,Singapore,Network Security,139585
Legal Advisor,Accenture,Tokyo,Contract Drafting,98668
Waiter,Disney,Dubai,Hospitality,25752
Call Center Agent,Apple,New York,Customer Handling,44643
Marketing Manager,Pfizer,New York,SEO,61988
Video Editor,Sony,Berlin,Premiere Pro,47658
Electrician,Meta,New York,Wiring,71258
Mechanic,HSBC,Toronto,Engine Repair,39411
Auditor,Amazon,London,Compliance,105237
Farmer,Apple,Dubai,Crop Management,44540
Software Engineer,HSBC,Delhi,Python,148510
Data Scientist,BMW,Bangalore,Machine Learning,76550
Investment Banker,Amazon,San Francisco,Valuation,144638
Photographer,Microsoft,Toronto,Photography,62835
Librarian,Sony,Tokyo,Cataloguing,65195
Pharmacist,HSBC,Delhi,Pharmacology,74436
Plumber,BMW,Tokyo,Pipe Fitting,62955
Animator,Tesla,Singapore,3D Animation,72813
Electrician,Meta,Chicago,Wiring,45490
Waiter,Apple,Sydney,Hospitality,35650
HR Manager,Deloitte,Bangalore,Recruitment,97998
Researcher,Apple,New York,Data Analysis,110298
HR Manager,Deloitte,Bangalore,Recruitment,84151
Professor,Microsoft,Los Angeles,Research,99610
Financial Analyst,McDonald's,Tokyo,Excel Modeling,101046
Cybersecurity Analyst,Coca Cola,Tokyo,Network Security,133977
Sales Manager,Tesla,Berlin,Negotiation,70400
Financial Analyst,Sony,Paris,Excel Modeling,96778
Waiter,Meta,Dubai,Hospitality,27020
Graphic Designer,Infosys,Tokyo,Photoshop,87371
Marketing Manager,Apple,Dubai,SEO,117773
Professor,Disney,Berlin,Research,119592
Photographer,Microsoft,San Francisco,Photography,64363
Judge,BMW,Bangalore,Judicial Review,248026
Electrician,EY,Sydney,Wiring,69081
Radiologist,Infosys,Paris,Imaging,146768
Operations Manager,Tesla,Tokyo,Process Optimization,70634
Teacher,JPMorgan,New York,Classroom Management,30095
Compliance Officer,Coca Cola,Sydney,Regulation,105446
Animator,Disney,Berlin,3D Animation,84915
Cybersecurity Analyst,Wipro,Berlin,Network Security,110947
Nurse,Amazon,Sydney,Patient Care,47941
Operations Manager,Coca Cola,Los Angeles,Process Optimization,138074
Mechanic,McDonald's,Toronto,Engine Repair,45090
Project Manager,Disney,Chicago,Agile,92562
Tax Consultant,KPMG,London,Tax Filing,77965
Project Manager,KPMG,San Francisco,Agile,89956
Animator,McDonald's,Berlin,3D Animation,94816
Driver,Disney,Paris,Driving,55433
Graphic Designer,Microsoft,Delhi,Photoshop,85675
Marketing Manager,Tesla,San Francisco,SEO,122758
Cashier,Wipro,Berlin,Billing,49480
Librarian,EY,Toronto,Cataloguing,60157
Marketing Manager,BMW,San Francisco,SEO,63422
Operations Manager,Microsoft,Sydney,Process Optimization,147569
Paralegal,McDonald's,Toronto,Legal Research,68953
Sales Manager,McDonald's,Dubai,Negotiation,125828
